"REF_DATE","GEO","DGUID","Labour productivity and related measures","Industry","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","48.5","","","","1"
"1998","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","49.4","","","","1"
"1999","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","50.6","","","","1"
"2000","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","52.3","","","","1"
"2001","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","53.1","","","","1"
"2002","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","54.0","","","","1"
"2003","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","54.2","","","","1"
"2004","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","54.8","","","","1"
"2005","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","56.0","","","","1"
"2006","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","56.8","","","","1"
"2007","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","56.9","","","","1"
"2008","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","56.6","","","","1"
"2009","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","56.6","","","","1"
"2010","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","57.2","","","","1"
"2011","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","58.2","","","","1"
"2012","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","58.3","","","","1"
"2013","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","59.2","","","","1"
"2014","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","61.0","","","","1"
"2015","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","61.0","","","","1"
"2016","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","61.3","","","","1"
"2017","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","62.2","","","","1"
"2018","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","62.5","","","","1"
"2019","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","62.7","","","","1"
"2020","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","67.7","","","","1"
"2021","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","65.0","","","","1"
"2022","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","64.6","","","","1"
"2023","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","63.5","","","","1"
"2024","Canada","2021A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","63.2","","","","1"
"1997","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","45.2","","","","1"
"1998","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","46.0","","","","1"
"1999","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","47.3","","","","1"
"2000","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","48.9","","","","1"
"2001","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","49.6","","","","1"
"2002","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","50.5","","","","1"
"2003","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","50.6","","","","1"
"2004","Canada","2021A000011124","Labour productivity","All industries (except owner occupied dwellings)","Chained (2017) dollars per hour","446","units","0","v1643625484","1.7.323","51.1","","","","1"
